gene	isoname	is_basic
CTNNBIP1	CTNNBIP1-204	1
CTNNBIP1	CTNNBIP1-202	1
CTNNBIP1	CTNNBIP1-201	1
LZIC	LZIC-205	0
LZIC	LZIC-202	1
LZIC	LZIC-203	1
LZIC	LZIC-201	1
NMNAT1	NMNAT1-202	1
NMNAT1	NMNAT1-201	1
NMNAT1	NMNAT1-205	0
RBP7	RBP7-201	1
UBE4B	UBE4B-201	1
UBE4B	UBE4B-210	1
UBE4B	UBE4B-202	1
UBE4B	UBE4B-203	1
UBE4B	UBE4B-207	0
KIF1B	KIF1B-214	1
KIF1B	KIF1B-205	1
KIF1B	KIF1B-201	1
KIF1B	KIF1B-204	1
KIF1B	KIF1B-203	1
KIF1B	KIF1B-202	1
KIF1B	KIF1B-211	1
KIF1B	KIF1B-212	1
KIF1B	KIF1B-213	0
PGD	PGD-207	0
PGD	PGD-201	1
PGD	PGD-205	0
PGD	PGD-203	0
PGD	PGD-202	0
CENPS-CORT	CENPS-CORT-201	1
CENPS-CORT	CENPS-CORT-203	1
CENPS-CORT	CENPS-CORT-205	1
CENPS-CORT	CENPS-CORT-204	1
CENPS-CORT	CENPS-CORT-202	1
CENPS	CENPS-201	1
CENPS	CENPS-202	1
CORT	CORT-201	1
DFFA	DFFA-202	1
DFFA	DFFA-201	1
PEX14	PEX14-201	1
PEX14	PEX14-203	0
CASZ1	CASZ1-202	1
CASZ1	CASZ1-203	0
CASZ1	CASZ1-201	1
C1orf127	C1orf127-202	0
C1orf127	C1orf127-201	1
C1orf127	C1orf127-203	0
C1orf127	C1orf127-205	0
TARDBP	TARDBP-205	0
TARDBP	TARDBP-230	1
TARDBP	TARDBP-228	1
TARDBP	TARDBP-207	0
TARDBP	TARDBP-201	1
TARDBP	TARDBP-225	0
TARDBP	TARDBP-202	1
TARDBP	TARDBP-229	1
TARDBP	TARDBP-232	1
TARDBP	TARDBP-217	1
TARDBP	TARDBP-226	1
TARDBP	TARDBP-227	0
TARDBP	TARDBP-218	0
TARDBP	TARDBP-211	0
AL109811.3	AL109811.3-203	0
MASP2	MASP2-201	1
MASP2	MASP2-202	1
SRM	SRM-201	1
SRM	SRM-206	0
SRM	SRM-203	0
SRM	SRM-205	0
EXOSC10	EXOSC10-201	1
EXOSC10	EXOSC10-202	1
MTOR	MTOR-202	1
MTOR	MTOR-201	1
MTOR	MTOR-203	0
ANGPTL7	ANGPTL7-201	1
UBIAD1	UBIAD1-202	1
UBIAD1	UBIAD1-201	1
UBIAD1	UBIAD1-203	0
DISP3	DISP3-201	1
DISP3	DISP3-202	1
FBXO2	FBXO2-201	1
FBXO2	FBXO2-202	0
FBXO44	FBXO44-201	1
FBXO44	FBXO44-207	0
FBXO44	FBXO44-206	1
FBXO44	FBXO44-202	1
FBXO44	FBXO44-205	1
FBXO44	FBXO44-203	1
FBXO44	FBXO44-204	1
FBXO44	FBXO44-209	0
FBXO44	FBXO44-208	0
FBXO6	FBXO6-201	1
FBXO6	FBXO6-202	0
MAD2L2	MAD2L2-207	1
MAD2L2	MAD2L2-201	1
MAD2L2	MAD2L2-206	1
MAD2L2	MAD2L2-205	1
MAD2L2	MAD2L2-204	1
MAD2L2	MAD2L2-208	0
MAD2L2	MAD2L2-209	0
DRAXIN	DRAXIN-201	1
AGTRAP	AGTRAP-204	1
AGTRAP	AGTRAP-205	1
AGTRAP	AGTRAP-201	1
AGTRAP	AGTRAP-203	1
AGTRAP	AGTRAP-202	1
AGTRAP	AGTRAP-206	1
AGTRAP	AGTRAP-212	1
C1orf167	C1orf167-202	1
C1orf167	C1orf167-201	0
C1orf167	C1orf167-203	0
C1orf167	C1orf167-204	0
MTHFR	MTHFR-205	1
MTHFR	MTHFR-204	1
MTHFR	MTHFR-202	1
MTHFR	MTHFR-203	1
MTHFR	MTHFR-208	1
MTHFR	MTHFR-210	1
